SiteID,Lat,Lon,KG,PFT,elev,start_year,end_year,no_of_years
US-SRM,31.8214,-110.8661,BSk,WSA,1120.0,2004,2014,11
US-Sta,41.3966,-106.8024,Dfb,OSH,2069.0,2005,2009,5
US-Syv,46.242,-89.3477,Dfb,MF,540.0,2001,2014,14
US-Ton,38.4316,-120.966,Csa,WSA,177.0,2001,2014,14
US-Tw1,38.1074,-121.6469,Csa,WET,-9.0,2012,2014,3
US-Tw2,38.1047,-121.6433,Csa,CRO,-5.0,2012,2013,2
US-Tw3,38.1159,-121.6467,Csa,CRO,-9.0,2013,2014,2
US-Tw4,38.103,-121.6414,Csa,WET,-5.0,2013,2014,2
US-Twt,38.1087,-121.653,Csa,CRO,-7.0,2009,2014,6
US-UMB,45.5598,-84.7138,Dfb,DBF,234.0,2000,2014,15
US-UMd,45.5625,-84.6975,Dfb,DBF,239.0,2007,2014,8
US-Var,38.4133,-120.9507,Csa,GRA,129.0,2000,2014,15
US-WCr,45.8059,-90.0799,Dfb,DBF,520.0,1999,2014,16
US-Whs,31.7438,-110.0522,BSk,OSH,1370.0,2007,2014,8
US-Wi0,46.6188,-91.0814,Dfb,ENF,349.0,2002,2002,1
US-Wi1,46.7305,-91.2329,Dfb,DBF,352.0,2003,2003,1
US-Wi2,46.6869,-91.1528,Dfb,ENF,395.0,2003,2003,1
US-Wi3,46.6347,-91.0987,Dfb,DBF,411.0,2002,2004,3
US-Wi4,46.7393,-91.1663,Dfb,ENF,352.0,2002,2005,4
US-Wi5,46.6531,-91.0858,Dfb,ENF,353.0,2004,2004,1
US-Wi6,46.6249,-91.2982,Dfb,OSH,371.0,2002,2003,2
US-Wi7,46.6491,-91.0693,Dfb,OSH,335.0,2005,2005,1
US-Wi8,46.7223,-91.2524,Dfb,DBF,348.0,2002,2002,1
US-Wi9,46.6188,-91.0814,Dfb,ENF,350.0,2004,2005,2
US-Wkg,31.7365,-109.9419,BSk,GRA,1531.0,2004,2014,11
US-WPT,41.4646,-82.9962,Cfa,WET,175.0,2011,2013,3
ZA-Kru,-25.0197,31.4969,BSh,SAV,359.0,2000,2013,14
ZM-Mon,-15.4378,23.2528,Aw,DBF,1053.0,2000,2009,10
